episode_id,t_in_episode,task_name,instruction,state_global_index,num_actions,action_dim,plot_path,percluster_plot_path,clusters_csv,left_img_path,wrist_img_path
ep000000,0,Put the marker in the pot,Put the marker in the pot,0,750,8,/home/exouser/openpi/droid_sanity/clusters/ep000000/state_000000_chunks_minkowski.png,/home/exouser/openpi/droid_sanity/clusters/ep000000/state_000000_chunks_minkowski_percluster.png,/home/exouser/openpi/droid_sanity/clusters/ep000000/state_000000_minkowski.csv,images/ep000000/state_000000_left.jpg,images/ep000000/state_000000_wrist.jpg
ep000000,1,Put the marker in the pot,Put the marker in the pot,1,750,8,/home/exouser/openpi/droid_sanity/clusters/ep000000/state_000001_chunks_minkowski.png,/home/exouser/openpi/droid_sanity/clusters/ep000000/state_000001_chunks_minkowski_percluster.png,/home/exouser/openpi/droid_sanity/clusters/ep000000/state_000001_minkowski.csv,images/ep000000/state_000001_left.jpg,images/ep000000/state_000001_wrist.jpg
ep000000,2,Put the marker in the pot,Put the marker in the pot,2,750,8,/home/exouser/openpi/droid_sanity/clusters/ep000000/state_000002_chunks_minkowski.png,/home/exouser/openpi/droid_sanity/clusters/ep000000/state_000002_chunks_minkowski_percluster.png,/home/exouser/openpi/droid_sanity/clusters/ep000000/state_000002_minkowski.csv,images/ep000000/state_000002_left.jpg,images/ep000000/state_000002_wrist.jpg
ep000000,3,Put the marker in the pot,Put the marker in the pot,3,750,8,/home/exouser/openpi/droid_sanity/clusters/ep000000/state_000003_chunks_minkowski.png,/home/exouser/openpi/droid_sanity/clusters/ep000000/state_000003_chunks_minkowski_percluster.png,/home/exouser/openpi/droid_sanity/clusters/ep000000/state_000003_minkowski.csv,images/ep000000/state_000003_left.jpg,images/ep000000/state_000003_wrist.jpg
ep000000,4,Put the marker in the pot,Put the marker in the pot,4,750,8,/home/exouser/openpi/droid_sanity/clusters/ep000000/state_000004_chunks_minkowski.png,/home/exouser/openpi/droid_sanity/clusters/ep000000/state_000004_chunks_minkowski_percluster.png,/home/exouser/openpi/droid_sanity/clusters/ep000000/state_000004_minkowski.csv,images/ep000000/state_000004_left.jpg,images/ep000000/state_000004_wrist.jpg
ep000000,5,Put the marker in the pot,Put the marker in the pot,5,750,8,/home/exouser/openpi/droid_sanity/clusters/ep000000/state_000005_chunks_minkowski.png,/home/exouser/openpi/droid_sanity/clusters/ep000000/state_000005_chunks_minkowski_percluster.png,/home/exouser/openpi/droid_sanity/clusters/ep000000/state_000005_minkowski.csv,images/ep000000/state_000005_left.jpg,images/ep000000/state_000005_wrist.jpg
ep000000,6,Put the marker in the pot,Put the marker in the pot,6,750,8,/home/exouser/openpi/droid_sanity/clusters/ep000000/state_000006_chunks_minkowski.png,/home/exouser/openpi/droid_sanity/clusters/ep000000/state_000006_chunks_minkowski_percluster.png,/home/exouser/openpi/droid_sanity/clusters/ep000000/state_000006_minkowski.csv,images/ep000000/state_000006_left.jpg,images/ep000000/state_000006_wrist.jpg
ep000000,7,Put the marker in the pot,Put the marker in the pot,7,750,8,/home/exouser/openpi/droid_sanity/clusters/ep000000/state_000007_chunks_minkowski.png,/home/exouser/openpi/droid_sanity/clusters/ep000000/state_000007_chunks_minkowski_percluster.png,/home/exouser/openpi/droid_sanity/clusters/ep000000/state_000007_minkowski.csv,images/ep000000/state_000007_left.jpg,images/ep000000/state_000007_wrist.jpg
ep000000,8,Put the marker in the pot,Put the marker in the pot,8,750,8,/home/exouser/openpi/droid_sanity/clusters/ep000000/state_000008_chunks_minkowski.png,/home/exouser/openpi/droid_sanity/clusters/ep000000/state_000008_chunks_minkowski_percluster.png,/home/exouser/openpi/droid_sanity/clusters/ep000000/state_000008_minkowski.csv,images/ep000000/state_000008_left.jpg,images/ep000000/state_000008_wrist.jpg
ep000000,9,Put the marker in the pot,Put the marker in the pot,9,750,8,/home/exouser/openpi/droid_sanity/clusters/ep000000/state_000009_chunks_minkowski.png,/home/exouser/openpi/droid_sanity/clusters/ep000000/state_000009_chunks_minkowski_percluster.png,/home/exouser/openpi/droid_sanity/clusters/ep000000/state_000009_minkowski.csv,images/ep000000/state_000009_left.jpg,images/ep000000/state_000009_wrist.jpg
ep000000,10,Put the marker in the pot,Put the marker in the pot,10,750,8,/home/exouser/openpi/droid_sanity/clusters/ep000000/state_000010_chunks_minkowski.png,/home/exouser/openpi/droid_sanity/clusters/ep000000/state_000010_chunks_minkowski_percluster.png,/home/exouser/openpi/droid_sanity/clusters/ep000000/state_000010_minkowski.csv,images/ep000000/state_000010_left.jpg,images/ep000000/state_000010_wrist.jpg
ep000000,11,Put the marker in the pot,Put the marker in the pot,11,750,8,/home/exouser/openpi/droid_sanity/clusters/ep000000/state_000011_chunks_minkowski.png,/home/exouser/openpi/droid_sanity/clusters/ep000000/state_000011_chunks_minkowski_percluster.png,/home/exouser/openpi/droid_sanity/clusters/ep000000/state_000011_minkowski.csv,images/ep000000/state_000011_left.jpg,images/ep000000/state_000011_wrist.jpg
ep000000,12,Put the marker in the pot,Put the marker in the pot,12,750,8,/home/exouser/openpi/droid_sanity/clusters/ep000000/state_000012_chunks_minkowski.png,/home/exouser/openpi/droid_sanity/clusters/ep000000/state_000012_chunks_minkowski_percluster.png,/home/exouser/openpi/droid_sanity/clusters/ep000000/state_000012_minkowski.csv,images/ep000000/state_000012_left.jpg,images/ep000000/state_000012_wrist.jpg
ep000000,13,Put the marker in the pot,Put the marker in the pot,13,750,8,/home/exouser/openpi/droid_sanity/clusters/ep000000/state_000013_chunks_minkowski.png,/home/exouser/openpi/droid_sanity/clusters/ep000000/state_000013_chunks_minkowski_percluster.png,/home/exouser/openpi/droid_sanity/clusters/ep000000/state_000013_minkowski.csv,images/ep000000/state_000013_left.jpg,images/ep000000/state_000013_wrist.jpg
ep000000,14,Put the marker in the pot,Put the marker in the pot,14,750,8,/home/exouser/openpi/droid_sanity/clusters/ep000000/state_000014_chunks_minkowski.png,/home/exouser/openpi/droid_sanity/clusters/ep000000/state_000014_chunks_minkowski_percluster.png,/home/exouser/openpi/droid_sanity/clusters/ep000000/state_000014_minkowski.csv,images/ep000000/state_000014_left.jpg,images/ep000000/state_000014_wrist.jpg
ep000000,15,Put the marker in the pot,Put the marker in the pot,15,750,8,/home/exouser/openpi/droid_sanity/clusters/ep000000/state_000015_chunks_minkowski.png,/home/exouser/openpi/droid_sanity/clusters/ep000000/state_000015_chunks_minkowski_percluster.png,/home/exouser/openpi/droid_sanity/clusters/ep000000/state_000015_minkowski.csv,images/ep000000/state_000015_left.jpg,images/ep000000/state_000015_wrist.jpg
ep000000,16,Put the marker in the pot,Put the marker in the pot,16,750,8,/home/exouser/openpi/droid_sanity/clusters/ep000000/state_000016_chunks_minkowski.png,/home/exouser/openpi/droid_sanity/clusters/ep000000/state_000016_chunks_minkowski_percluster.png,/home/exouser/openpi/droid_sanity/clusters/ep000000/state_000016_minkowski.csv,images/ep000000/state_000016_left.jpg,images/ep000000/state_000016_wrist.jpg
ep000000,17,Put the marker in the pot,Put the marker in the pot,17,750,8,/home/exouser/openpi/droid_sanity/clusters/ep000000/state_000017_chunks_minkowski.png,/home/exouser/openpi/droid_sanity/clusters/ep000000/state_000017_chunks_minkowski_percluster.png,/home/exouser/openpi/droid_sanity/clusters/ep000000/state_000017_minkowski.csv,images/ep000000/state_000017_left.jpg,images/ep000000/state_000017_wrist.jpg
ep000000,18,Put the marker in the pot,Put the marker in the pot,18,750,8,/home/exouser/openpi/droid_sanity/clusters/ep000000/state_000018_chunks_minkowski.png,/home/exouser/openpi/droid_sanity/clusters/ep000000/state_000018_chunks_minkowski_percluster.png,/home/exouser/openpi/droid_sanity/clusters/ep000000/state_000018_minkowski.csv,images/ep000000/state_000018_left.jpg,images/ep000000/state_000018_wrist.jpg
ep000000,19,Put the marker in the pot,Put the marker in the pot,19,750,8,/home/exouser/openpi/droid_sanity/clusters/ep000000/state_000019_chunks_minkowski.png,/home/exouser/openpi/droid_sanity/clusters/ep000000/state_000019_chunks_minkowski_percluster.png,/home/exouser/openpi/droid_sanity/clusters/ep000000/state_000019_minkowski.csv,images/ep000000/state_000019_left.jpg,images/ep000000/state_000019_wrist.jpg
ep000000,20,Put the marker in the pot,Put the marker in the pot,20,750,8,/home/exouser/openpi/droid_sanity/clusters/ep000000/state_000020_chunks_minkowski.png,/home/exouser/openpi/droid_sanity/clusters/ep000000/state_000020_chunks_minkowski_percluster.png,/home/exouser/openpi/droid_sanity/clusters/ep000000/state_000020_minkowski.csv,images/ep000000/state_000020_left.jpg,images/ep000000/state_000020_wrist.jpg
ep000000,21,Put the marker in the pot,Put the marker in the pot,21,750,8,/home/exouser/openpi/droid_sanity/clusters/ep000000/state_000021_chunks_minkowski.png,/home/exouser/openpi/droid_sanity/clusters/ep000000/state_000021_chunks_minkowski_percluster.png,/home/exouser/openpi/droid_sanity/clusters/ep000000/state_000021_minkowski.csv,images/ep000000/state_000021_left.jpg,images/ep000000/state_000021_wrist.jpg
ep000000,22,Put the marker in the pot,Put the marker in the pot,22,750,8,/home/exouser/openpi/droid_sanity/clusters/ep000000/state_000022_chunks_minkowski.png,/home/exouser/openpi/droid_sanity/clusters/ep000000/state_000022_chunks_minkowski_percluster.png,/home/exouser/openpi/droid_sanity/clusters/ep000000/state_000022_minkowski.csv,images/ep000000/state_000022_left.jpg,images/ep000000/state_000022_wrist.jpg
