global_step_index,episode_index,episode_id,task_name,instruction,t_in_episode,picked_left_key,picked_wrist_key,left_img_path,wrist_img_path,samples_per_state,actions_shape,mean_0,mean_1,mean_2,mean_3,mean_4,mean_5,mean_6,mean_7,std_0,std_1,std_2,std_3,std_4,std_5,std_6,std_7
12959,42,ep000042,,Pick up the small blue packet from the countertop and put it in the black wire basket.,0,exterior_1_left,wrist_left,../droid_1.0.1_images/ep000042/state_000000_left.jpg,../droid_1.0.1_images/ep000042/state_000000_wrist.jpg,50,"(50, 15, 8)",-0.04283946483864054,-0.0030253114839449203,-0.007624881341525735,-0.29645064435847873,-0.1260784248359699,0.45977489469557103,0.11486608065701213,0.017673685136873608,0.006856865505174163,0.026988623921390547,0.002357217737667387,0.024504903365526184,0.014112288690416112,0.01124686437312121,0.007622847050398323,0.017124665174040293
12960,42,ep000042,,Pick up the small blue packet from the countertop and put it in the black wire basket.,1,exterior_1_left,wrist_left,../droid_1.0.1_images/ep000042/state_000001_left.jpg,../droid_1.0.1_images/ep000042/state_000001_wrist.jpg,50,"(50, 15, 8)",-0.046611493371512144,0.007389969259843441,-0.007566174192911368,-0.30764672671558563,-0.13713442659613137,0.48510190578577045,0.11814761193888582,0.015354167224620937,0.00914952963062441,0.03161570730228873,0.003242093342795025,0.027730636290454386,0.03161114111090784,0.025792221351109982,0.025417154417526525,0.012041796646358927
12961,42,ep000042,,Pick up the small blue packet from the countertop and put it in the black wire basket.,2,exterior_1_left,wrist_left,../droid_1.0.1_images/ep000042/state_000002_left.jpg,../droid_1.0.1_images/ep000042/state_000002_wrist.jpg,50,"(50, 15, 8)",-0.04756002708989485,0.0038210340293478623,-0.00746785318035112,-0.29528090418920516,-0.13559891517211695,0.46942515204591306,0.12385075937418179,0.019316665605853562,0.011251001310097557,0.02577920967179204,0.00268279603746114,0.0214703079603484,0.02122871388481285,0.015003941698900547,0.012310316398224743,0.01769644052736071
12962,42,ep000042,,Pick up the small blue packet from the countertop and put it in the black wire basket.,3,exterior_1_left,wrist_left,../droid_1.0.1_images/ep000042/state_000003_left.jpg,../droid_1.0.1_images/ep000042/state_000003_wrist.jpg,50,"(50, 15, 8)",-0.04476907199270865,0.0051069162096467795,-0.006815206250548151,-0.30666914111192883,-0.13382002990025424,0.48837644030242466,0.13073459316560818,0.016551210683813097,0.00979862880087794,0.030391460943431068,0.0018079172977672334,0.025662208842276987,0.01938138916568624,0.02267182452705726,0.009064962333909897,0.010904338626231786
12963,42,ep000042,,Pick up the small blue packet from the countertop and put it in the black wire basket.,4,exterior_1_left,wrist_left,../droid_1.0.1_images/ep000042/state_000004_left.jpg,../droid_1.0.1_images/ep000042/state_000004_wrist.jpg,50,"(50, 15, 8)",-0.04524548140168259,0.007122026867523976,-0.008784292096447528,-0.29515867679289587,-0.13232841917862828,0.46695688223678344,0.11762057279556647,0.015178671602336886,0.011524701025023698,0.021927665219325983,0.005313061422934487,0.03492889970110732,0.028821206696966754,0.02797179025765445,0.021474116612360563,0.010517019438736818
12964,42,ep000042,,Pick up the small blue packet from the countertop and put it in the black wire basket.,5,exterior_1_left,wrist_left,../droid_1.0.1_images/ep000042/state_000005_left.jpg,../droid_1.0.1_images/ep000042/state_000005_wrist.jpg,50,"(50, 15, 8)",-0.04631375302757856,0.026078017317778916,-0.013834046407370074,-0.28536087559787554,-0.12678510873432502,0.47698159419731695,0.10985427640419329,0.018824785221835973,0.0075923305681275055,0.025984741505350118,0.0032225108530284634,0.03227539298708853,0.018305566545968457,0.029309006686038447,0.007986231039711439,0.012705114738331896
12965,42,ep000042,,Pick up the small blue packet from the countertop and put it in the black wire basket.,6,exterior_1_left,wrist_left,../droid_1.0.1_images/ep000042/state_000006_left.jpg,../droid_1.0.1_images/ep000042/state_000006_wrist.jpg,50,"(50, 15, 8)",-0.03745134748852095,-8.873742363731951e-05,-0.010444753264973584,-0.2906498823661106,-0.10775143289941935,0.4598275839515524,0.09939754826686921,0.022968512448405864,0.011385329701337018,0.021727384684609316,0.002439165447873187,0.015352650978528086,0.022363078984825473,0.010897342190816443,0.017088802043182125,0.022718560702147443
12966,42,ep000042,,Pick up the small blue packet from the countertop and put it in the black wire basket.,7,exterior_1_left,wrist_left,../droid_1.0.1_images/ep000042/state_000007_left.jpg,../droid_1.0.1_images/ep000042/state_000007_wrist.jpg,50,"(50, 15, 8)",-0.03576702497674534,0.012937115438768224,-0.011567123654498402,-0.2700939324242582,-0.11168579183603491,0.4432420411407096,0.09828190743812538,0.015026500873595241,0.010311149624603586,0.029149691050468673,0.002385208171061834,0.021624762993095566,0.023377227267550187,0.018270613182633677,0.019893452946909966,0.008885726823332735
12967,42,ep000042,,Pick up the small blue packet from the countertop and put it in the black wire basket.,8,exterior_1_left,wrist_left,../droid_1.0.1_images/ep000042/state_000008_left.jpg,../droid_1.0.1_images/ep000042/state_000008_wrist.jpg,50,"(50, 15, 8)",-0.045718103100607484,0.018512126501539307,-0.011959019041422112,-0.2862813659811415,-0.13226006787714495,0.47283196823254675,0.10683523729327576,0.017914236413067698,0.00766700343321084,0.024770135074799273,0.0029688517640616492,0.024495868819393155,0.021628126690587317,0.023856925030819907,0.015260303051625726,0.014660374977648041
12968,42,ep000042,,Pick up the small blue packet from the countertop and put it in the black wire basket.,9,exterior_1_left,wrist_left,../droid_1.0.1_images/ep000042/state_000009_left.jpg,../droid_1.0.1_images/ep000042/state_000009_wrist.jpg,50,"(50, 15, 8)",-0.05259368308681747,0.03668364493704697,-0.01217864344800085,-0.2777672277689564,-0.1385995353584568,0.4831167754488507,0.10583051947861462,0.018033007134739994,0.00877558179976911,0.027905342209314926,0.0024907398215112606,0.025647413403596057,0.021880072671865935,0.02738942071868971,0.01657207509439474,0.012543309604648212
12969,42,ep000042,,Pick up the small blue packet from the countertop and put it in the black wire basket.,10,exterior_1_left,wrist_left,../droid_1.0.1_images/ep000042/state_000010_left.jpg,../droid_1.0.1_images/ep000042/state_000010_wrist.jpg,50,"(50, 15, 8)",-0.053484747696482975,0.03946731687199077,-0.020407863973680284,-0.2750897262495634,-0.1290671823551185,0.49130982980693927,0.08446904985854567,0.014675989986590263,0.007672382999264013,0.02793818444276132,0.0033785501028299712,0.019252421667455832,0.02927199118917597,0.024062609038207724,0.017343182581827724,0.01597040120347835
12970,42,ep000042,,Pick up the small blue packet from the countertop and put it in the black wire basket.,11,exterior_1_left,wrist_left,../droid_1.0.1_images/ep000042/state_000011_left.jpg,../droid_1.0.1_images/ep000042/state_000011_wrist.jpg,50,"(50, 15, 8)",-0.05873163679566178,0.07075865246857699,-0.016447156116742037,-0.24345052901990186,-0.14363374262572617,0.4786605177218316,0.09755668494019569,0.015979828600335005,0.007634286348954774,0.030045808483027563,0.0033479642980237057,0.02097150946388503,0.02534830106489734,0.03266164098500671,0.01979985350145387,0.006550818889730423
12971,42,ep000042,,Pick up the small blue packet from the countertop and put it in the black wire basket.,12,exterior_1_left,wrist_left,../droid_1.0.1_images/ep000042/state_000012_left.jpg,../droid_1.0.1_images/ep000042/state_000012_wrist.jpg,50,"(50, 15, 8)",-0.07185909467695568,0.09124015068820604,-0.017809764086277786,-0.23435425728492712,-0.15982857853081425,0.4949166442090257,0.10521772795482352,0.017779773719657065,0.005883597741926396,0.03412042847756736,0.003906302616957746,0.037631586658536,0.02180147709682429,0.05411688718633898,0.019151862216094228,0.01078899087518062
12972,42,ep000042,,Pick up the small blue packet from the countertop and put it in the black wire basket.,13,exterior_1_left,wrist_left,../droid_1.0.1_images/ep000042/state_000013_left.jpg,../droid_1.0.1_images/ep000042/state_000013_wrist.jpg,50,"(50, 15, 8)",-0.0668298214078544,0.13692094677663189,-0.024622724252471036,-0.19129918591997572,-0.14442965665663546,0.4755252967523254,0.08195170561633351,0.015141642394755362,0.005097283142244648,0.02533372189165832,0.0032515541949297722,0.020703354341015338,0.011712117565102558,0.0376473779404857,0.006031305043420333,0.007259416320566695
