episode_id,task_name,instruction,t_in_episode,state_global_index,sample_index,action_in_chunk,a0,a1,a2,a3,a4,a5,a6,a7,cluster,left_img_path,wrist_img_path
ep000001,Put the candy bar on the left side of the first shelf,Put the candy bar on the left side of the first shelf,50,8,0,0,-0.04563284685984248,0.06225865700626365,0.03168693726992622,0.0969075608775617,0.09480670214027165,0.00883517516732224,-0.13592661433547737,0.24760649562326076,4,images/ep000001/state_000050_left.jpg,images/ep000001/state_000050_wrist.jpg
ep000001,Put the candy bar on the left side of the first shelf,Put the candy bar on the left side of the first shelf,50,8,0,1,-0.047477168049246066,0.0625479579180479,0.04167035153257859,0.09429373275029673,0.09467751195311547,0.014458258572876526,-0.14401523253718018,0.3351739790025652,4,images/ep000001/state_000050_left.jpg,images/ep000001/state_000050_wrist.jpg
ep000001,Put the candy bar on the left side of the first shelf,Put the candy bar on the left side of the first shelf,50,8,0,2,-0.05009315909710521,0.04456874059224125,0.04079794598269476,0.09539454034137729,0.08942190088266133,0.0028818338075579097,-0.13915260082682968,0.3879991973901987,4,images/ep000001/state_000050_left.jpg,images/ep000001/state_000050_wrist.jpg
ep000001,Put the candy bar on the left side of the first shelf,Put the candy bar on the left side of the first shelf,50,8,0,3,-0.0502062700504064,0.0465671292949319,0.04072505876672283,0.10102630480664965,0.09705661673700816,0.008101251266717902,-0.14155252933192253,0.46014686927318577,4,images/ep000001/state_000050_left.jpg,images/ep000001/state_000050_wrist.jpg
ep000001,Put the candy bar on the left side of the first shelf,Put the candy bar on the left side of the first shelf,50,8,0,4,-0.04774325272798535,0.05547321005362271,0.03981274132990853,0.09149246981698267,0.10023909166383749,0.0016333128607869396,-0.1428685688201785,0.5371216758012772,4,images/ep000001/state_000050_left.jpg,images/ep000001/state_000050_wrist.jpg
ep000001,Put the candy bar on the left side of the first shelf,Put the candy bar on the left side of the first shelf,50,8,0,5,-0.052431460190653756,0.039731059370040844,0.03996379821747553,0.0966185604130626,0.1001780830441118,0.003595630968540986,-0.1469466059470773,0.6175377272025347,4,images/ep000001/state_000050_left.jpg,images/ep000001/state_000050_wrist.jpg
ep000001,Put the candy bar on the left side of the first shelf,Put the candy bar on the left side of the first shelf,50,8,0,6,-0.05392632764029498,0.05129381496316188,0.046298583030522034,0.09650047751116764,0.09899338974577188,-0.0005406090501546279,-0.16082213306730986,0.6999153942566514,4,images/ep000001/state_000050_left.jpg,images/ep000001/state_000050_wrist.jpg
ep000001,Put the candy bar on the left side of the first shelf,Put the candy bar on the left side of the first shelf,50,8,0,7,-0.05911458753502363,0.04434262464952465,0.048338411273121995,0.0867252445474268,0.11048290939944982,0.007115275057137049,-0.1586777172089815,0.7738195038390756,4,images/ep000001/state_000050_left.jpg,images/ep000001/state_000050_wrist.jpg
ep000001,Put the candy bar on the left side of the first shelf,Put the candy bar on the left side of the first shelf,50,8,0,8,-0.05782232660564779,0.0496554118409156,0.053281402424812496,0.0983005492719412,0.10700873459929228,-0.00967229804176084,-0.15425869932436942,0.8522783494534493,4,images/ep000001/state_000050_left.jpg,images/ep000001/state_000050_wrist.jpg
ep000001,Put the candy bar on the left side of the first shelf,Put the candy bar on the left side of the first shelf,50,8,0,9,-0.06320479943761226,0.042390827830553035,0.04599470843684689,0.09220455793344973,0.11785747092467547,-0.013614525651782672,-0.15583042979660633,0.917769030682683,4,images/ep000001/state_000050_left.jpg,images/ep000001/state_000050_wrist.jpg
ep000001,Put the candy bar on the left side of the first shelf,Put the candy bar on the left side of the first shelf,50,8,0,10,-0.06306977340579029,0.047168323963522885,0.04878790022432816,0.09497801855015753,0.10976561462897061,-0.016656120669066854,-0.15482518749219176,0.9377022804120183,4,images/ep000001/state_000050_left.jpg,images/ep000001/state_000050_wrist.jpg
ep000001,Put the candy bar on the left side of the first shelf,Put the candy bar on the left side of the first shelf,50,8,0,11,-0.05591655143374202,0.05196794421029083,0.05124952454471604,0.09632976513171199,0.1058929941530824,-0.022911948202788746,-0.15825354213982823,0.930814606093526,4,images/ep000001/state_000050_left.jpg,images/ep000001/state_000050_wrist.jpg
ep000001,Put the candy bar on the left side of the first shelf,Put the candy bar on the left side of the first shelf,50,8,0,12,-0.06300338043391701,0.041121503674507065,0.03981220774853245,0.10290824464362858,0.10860537105560308,-0.03195891766250125,-0.14810049232134226,0.9253081137170792,4,images/ep000001/state_000050_left.jpg,images/ep000001/state_000050_wrist.jpg
ep000001,Put the candy bar on the left side of the first shelf,Put the candy bar on the left side of the first shelf,50,8,0,13,-0.05709483776140212,0.03890271755003927,0.038946632040262386,0.08942955844312916,0.10675652450257545,-0.0419340964686572,-0.14816455996632572,0.9183564963419438,4,images/ep000001/state_000050_left.jpg,images/ep000001/state_000050_wrist.jpg
ep000001,Put the candy bar on the left side of the first shelf,Put the candy bar on the left side of the first shelf,50,8,0,14,-0.05218791133773326,0.01865990339469903,0.03593696628850712,0.08810643491077419,0.1032620649148226,-0.04560703142297262,-0.13320657052698737,0.9115181052553654,4,images/ep000001/state_000050_left.jpg,images/ep000001/state_000050_wrist.jpg
ep000001,Put the candy bar on the left side of the first shelf,Put the candy bar on the left side of the first shelf,50,8,1,0,-0.044784204336434597,0.08393260133635994,0.03740746320283428,0.10871349146085973,0.07924896421092753,0.046957404307127026,-0.15225209354999658,0.01674217536109686,2,images/ep000001/state_000050_left.jpg,images/ep000001/state_000050_wrist.jpg
ep000001,Put the candy bar on the left side of the first shelf,Put the candy bar on the left side of the first shelf,50,8,1,1,-0.04476193840074538,0.08758326760554314,0.040281225778103,0.09818390265208488,0.08077271426314114,0.04666970114541058,-0.15500557558655736,0.012763165210068227,2,images/ep000001/state_000050_left.jpg,images/ep000001/state_000050_wrist.jpg
ep000001,Put the candy bar on the left side of the first shelf,Put the candy bar on the left side of the first shelf,50,8,1,2,-0.045978171280622426,0.08511671015578504,0.03984059427773967,0.10255625295257575,0.09142091656666995,0.04232887827920917,-0.15378811199465392,0.01128717114955187,2,images/ep000001/state_000050_left.jpg,images/ep000001/state_000050_wrist.jpg
ep000001,Put the candy bar on the left side of the first shelf,Put the candy bar on the left side of the first shelf,50,8,1,3,-0.05317063527750965,0.08267274555104964,0.04171047685205953,0.09709243089425568,0.08986924600833657,0.03537704000556474,-0.16522884568399188,0.009881198609590532,2,images/ep000001/state_000050_left.jpg,images/ep000001/state_000050_wrist.jpg
ep000001,Put the candy bar on the left side of the first shelf,Put the candy bar on the left side of the first shelf,50,8,1,4,-0.049733692433536036,0.0776936949915289,0.03884930679726617,0.0950850215620399,0.09094318282383684,0.03127407151573902,-0.15845947704043983,0.011111193660020828,2,images/ep000001/state_000050_left.jpg,images/ep000001/state_000050_wrist.jpg
ep000001,Put the candy bar on the left side of the first shelf,Put the candy bar on the left side of the first shelf,50,8,1,5,-0.053768064068317356,0.07781594009488813,0.04058494029736531,0.10505702516508097,0.09393908398187167,0.02526826801490789,-0.1562888901956081,0.010401532998293639,2,images/ep000001/state_000050_left.jpg,images/ep000001/state_000050_wrist.jpg
ep000001,Put the candy bar on the left side of the first shelf,Put the candy bar on the left side of the first shelf,50,8,1,6,-0.05587666167259214,0.07652121070647233,0.04125501178944124,0.10216989308416846,0.09893022152888775,0.026997451388716676,-0.15195297745382785,0.008314742703795433,2,images/ep000001/state_000050_left.jpg,images/ep000001/state_000050_wrist.jpg
